"url","warc_filename","warc_record_offset","warc_record_length"
"http://www.lapband.biz/__media__/js/netsoltrademark.php?d=www.amazon.com/electrolyte-replacement/dp/B07CJG4WGB","crawl-data/CC-MAIN-2020-10/segments/1581875145742.20/warc/CC-MAIN-20200223001555-20200223031555-00208.warc.gz","206633489","2186"
"http://blueknot.biz/__media__/js/netsoltrademark.php?d=www.amazon.com/electrolyte/dp/B07CJG4WGB","crawl-data/CC-MAIN-2020-10/segments/1581875144498.68/warc/CC-MAIN-20200220005045-20200220035045-00342.warc.gz","23569867","2182"
"http://www.channelyes.com/__media__/js/netsoltrademark.php?d=www.amazon.com/electrolyte-replacement/dp/B07CJG4WGB","crawl-data/CC-MAIN-2020-10/segments/1581875145818.81/warc/CC-MAIN-20200223154628-20200223184628-00498.warc.gz","179518758","2184"
"http://www.6daysweightloss.com/__media__/js/netsoltrademark.php?d=www.amazon.com/electrolyte-imbalance/dp/B07CJG4WGB","crawl-data/CC-MAIN-2020-10/segments/1581875147628.27/warc/CC-MAIN-20200228170007-20200228200007-00204.warc.gz","150536593","5490"
"https://www.amazon.com/100-Baggers-Stocks-100-1/dp/1621291650","crawl-data/CC-MAIN-2020-10/segments/1581875143784.14/warc/CC-MAIN-20200218150621-20200218180621-00535.warc.gz","651369716","110549"
"https://www.amazon.com/100-Pure-Sweet-Almond-Oil/dp/B07345BPSG","crawl-data/CC-MAIN-2020-10/segments/1581875143635.54/warc/CC-MAIN-20200218055414-20200218085414-00142.warc.gz","649926622","105810"
"https://www.amazon.com/1001-Things-Means-Boomer-Now/dp/B002UXS2GO","crawl-data/CC-MAIN-2020-10/segments/1581875144058.43/warc/CC-MAIN-20200219061325-20200219091325-00266.warc.gz","648153012","87332"
"https://www.amazon.com/12-Hours-Havana-Build-perfect-ebook/dp/B06XYRP6HW","crawl-data/CC-MAIN-2020-10/segments/1581875144979.91/warc/CC-MAIN-20200220131529-20200220161529-00228.warc.gz","650024075","99316"
"https://www.amazon.com/1632-Ring-Fire-Eric-Flint/dp/0671319728","crawl-data/CC-MAIN-2020-10/segments/1581875143695.67/warc/CC-MAIN-20200218120100-20200218150100-00075.warc.gz","640702133","108630"
"https://www.amazon.com/1633-Ring-Fire-Eric-Flint/dp/0743471555","crawl-data/CC-MAIN-2020-10/segments/1581875145621.28/warc/CC-MAIN-20200221233354-20200222023354-00389.warc.gz","646893740","108039"
"https://www.amazon.com/21-Bridges-Blu-ray-Chadwick-Boseman/dp/B081KQHB9M","crawl-data/CC-MAIN-2020-10/segments/1581875143695.67/warc/CC-MAIN-20200218120100-20200218150100-00020.warc.gz","651013894","95999"
"https://www.amazon.com/2Sides-Side-Clean-Jason-Derulo/dp/B07ZWPGB6W","crawl-data/CC-MAIN-2020-10/segments/1581875143695.67/warc/CC-MAIN-20200218120100-20200218150100-00347.warc.gz","647362439","78456"
"https://www.amazon.com/303-230371-Instant-Windshield-Washer/dp/B000FF76KM","crawl-data/CC-MAIN-2020-10/segments/1581875146186.62/warc/CC-MAIN-20200226023658-20200226053658-00008.warc.gz","629589578","121473"
"https://www.amazon.com/360fly-Capable-Action-Video-Camera/dp/B074KKVM2N","crawl-data/CC-MAIN-2020-10/segments/1581875143695.67/warc/CC-MAIN-20200218120100-20200218150100-00553.warc.gz","651727800","139935"
"https://www.amazon.com/365-Everyday-Value-Veggie-Straws/dp/B074H51HD3","crawl-data/CC-MAIN-2020-10/segments/1581875147647.2/warc/CC-MAIN-20200228200903-20200228230903-00084.warc.gz","619510434","104555"
"https://www.amazon.com/3GPlus-Electric-Fireplace-Recessed-Changeable/dp/B07CHWB66K","crawl-data/CC-MAIN-2020-10/segments/1581875143784.14/warc/CC-MAIN-20200218150621-20200218180621-00203.warc.gz","642554797","129408"
"https://www.amazon.com/666-Park-Avenue-Novel-Novels-ebook/dp/B004HD62JE","crawl-data/CC-MAIN-2020-10/segments/1581875143695.67/warc/CC-MAIN-20200218120100-20200218150100-00214.warc.gz","660060102","111433"
"https://www.amazon.com/7th-U-Boat-Flotilla-Atlantic-Spearhead/dp/0711029571","crawl-data/CC-MAIN-2020-10/segments/1581875146186.62/warc/CC-MAIN-20200226023658-20200226053658-00559.warc.gz","628525564","85863"
