url,warc_filename,warc_record_offset,warc_record_length
http://www.walmart.com/c/kp/ipad-mini-cases/laptops?facets=category:Laptops,crawl-data/CC-MAIN-2018-13/segments/1521257649961.11/crawldiagnostics/CC-MAIN-20180324073738-20180324093738-00743.warc.gz,14444907,798
https://www.walmart.com/c/kp/ipad-mini-cases/laptops?facets=category:Laptops,crawl-data/CC-MAIN-2018-13/segments/1521257649961.11/crawldiagnostics/CC-MAIN-20180324073738-20180324093738-00774.warc.gz,27543494,1568
http://www.walmart.com/c/kp/lap-trays/4-5-stars-laptop-trays?facets=customer_rating:4+-+5+Stars;;type:Laptop+Trays,crawl-data/CC-MAIN-2018-13/segments/1521257647280.40/crawldiagnostics/CC-MAIN-20180320033158-20180320053158-00433.warc.gz,15207580,828
https://www.walmart.com/c/kp/lap-trays/4-5-stars-laptop-trays?facets=customer_rating:4+-+5+Stars;;type:Laptop+Trays,crawl-data/CC-MAIN-2018-13/segments/1521257647280.40/crawldiagnostics/CC-MAIN-20180320033158-20180320053158-00562.warc.gz,24904768,1587
http://www.walmart.com/c/kp/lap-trays/laptop-trays-tray-tables?facets=type:Laptop+Trays~~Tray+Tables,crawl-data/CC-MAIN-2018-13/segments/1521257647901.79/crawldiagnostics/CC-MAIN-20180322170754-20180322190754-00095.warc.gz,16254146,811
https://www.walmart.com/c/kp/lap-trays/laptop-trays-tray-tables?facets=type:Laptop+Trays~~Tray+Tables,crawl-data/CC-MAIN-2018-13/segments/1521257647901.79/crawldiagnostics/CC-MAIN-20180322170754-20180322190754-00000.warc.gz,24940270,1558
http://www.walmart.com/c/kp/laptop-bags-and-cases/new?facets=special_offers:New,crawl-data/CC-MAIN-2018-13/segments/1521257647782.95/crawldiagnostics/CC-MAIN-20180322073140-20180322093140-00354.warc.gz,15235167,810
https://www.walmart.com/c/kp/laptop-bags-and-cases/new?facets=special_offers:New,crawl-data/CC-MAIN-2018-13/segments/1521257647782.95/crawldiagnostics/CC-MAIN-20180322073140-20180322093140-00033.warc.gz,26072945,1578
http://www.walmart.com/c/kp/laptop-bags-and-cases/travel-backpacks?facets=type:Travel+Backpacks,crawl-data/CC-MAIN-2018-13/segments/1521257647681.81/crawldiagnostics/CC-MAIN-20180321180325-20180321200325-00029.warc.gz,16602638,812
https://www.walmart.com/c/kp/laptop-bags-and-cases/travel-backpacks?facets=type:Travel+Backpacks,crawl-data/CC-MAIN-2018-13/segments/1521257647681.81/crawldiagnostics/CC-MAIN-20180321180325-20180321200325-00540.warc.gz,27643848,1556
